School Name,Grade,Year,Category,Number Tested,Mean Scale Score
P.S. 064 ROBERT SIMON,5,2013,Male,17,296
P.S. 064 ROBERT SIMON,5,2014,Female,19,293
P.S. 064 ROBERT SIMON,5,2014,Male,18,286
P.S. 064 ROBERT SIMON,All Grades,2013,Female,57,288
P.S. 064 ROBERT SIMON,All Grades,2013,Male,53,286
P.S. 064 ROBERT SIMON,All Grades,2014,Female,53,293
P.S. 064 ROBERT SIMON,All Grades,2014,Male,59,284
P.S. 110 FLORENCE NIGHTINGALE,3,2013,Female,30,321
P.S. 110 FLORENCE NIGHTINGALE,3,2013,Male,24,303
P.S. 110 FLORENCE NIGHTINGALE,3,2014,Female,36,313
P.S. 110 FLORENCE NIGHTINGALE,3,2014,Male,33,302
P.S. 110 FLORENCE NIGHTINGALE,4,2013,Female,25,319
P.S. 110 FLORENCE NIGHTINGALE,4,2013,Male,23,308
P.S. 110 FLORENCE NIGHTINGALE,4,2014,Female,30,311
P.S. 110 FLORENCE NIGHTINGALE,4,2014,Male,23,301
P.S. 110 FLORENCE NIGHTINGALE,5,2013,Female,37,320
P.S. 110 FLORENCE NIGHTINGALE,5,2013,Male,28,305
P.S. 110 FLORENCE NIGHTINGALE,5,2014,Female,23,311
P.S. 110 FLORENCE NIGHTINGALE,5,2014,Male,22,296
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2013,Female,92,320
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2013,Male,75,305
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2014,Female,89,312
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2014,Male,78,300
P.S. 134 HENRIETTA SZOLD,3,2013,Female,27,292
P.S. 134 HENRIETTA SZOLD,3,2013,Male,23,292
P.S. 134 HENRIETTA SZOLD,3,2014,Female,24,295
P.S. 134 HENRIETTA SZOLD,3,2014,Male,20,290
P.S. 134 HENRIETTA SZOLD,4,2013,Female,35,292
P.S. 134 HENRIETTA SZOLD,4,2013,Male,24,285
P.S. 134 HENRIETTA SZOLD,4,2014,Female,21,289
P.S. 134 HENRIETTA SZOLD,4,2014,Male,21,295
P.S. 134 HENRIETTA SZOLD,5,2013,Female,21,289
P.S. 134 HENRIETTA SZOLD,5,2013,Male,17,290
P.S. 134 HENRIETTA SZOLD,5,2014,Female,28,297
P.S. 134 HENRIETTA SZOLD,5,2014,Male,24,284
P.S. 134 HENRIETTA SZOLD,All Grades,2013,Female,83,291
P.S. 134 HENRIETTA SZOLD,All Grades,2013,Male,64,289
P.S. 134 HENRIETTA SZOLD,All Grades,2014,Female,73,294
P.S. 134 HENRIETTA SZOLD,All Grades,2014,Male,65,289
P.S. 137 JOHN L. BERNSTEIN,3,2013,Female,17,276
P.S. 137 JOHN L. BERNSTEIN,3,2013,Male,8,269
P.S. 137 JOHN L. BERNSTEIN,3,2014,Female,18,274
P.S. 137 JOHN L. BERNSTEIN,3,2014,Male,17,250
P.S. 137 JOHN L. BERNSTEIN,4,2013,Female,11,272
P.S. 137 JOHN L. BERNSTEIN,4,2013,Male,13,286
P.S. 137 JOHN L. BERNSTEIN,4,2014,Female,12,288
P.S. 137 JOHN L. BERNSTEIN,4,2014,Male,9,284
P.S. 137 JOHN L. BERNSTEIN,5,2013,Female,10,269
P.S. 137 JOHN L. BERNSTEIN,5,2013,Male,13,281
P.S. 137 JOHN L. BERNSTEIN,5,2014,Female,9,269
P.S. 137 JOHN L. BERNSTEIN,5,2014,Male,15,279
P.S. 137 JOHN L. BERNSTEIN,All Grades,2013,Female,38,273
P.S. 137 JOHN L. BERNSTEIN,All Grades,2013,Male,34,280
P.S. 137 JOHN L. BERNSTEIN,All Grades,2014,Female,39,277
P.S. 137 JOHN L. BERNSTEIN,All Grades,2014,Male,41,268
P.S. 140 NATHAN STRAUS,3,2013,Female,19,288
P.S. 140 NATHAN STRAUS,3,2013,Male,12,289
P.S. 140 NATHAN STRAUS,3,2014,Female,11,263
P.S. 140 NATHAN STRAUS,3,2014,Male,16,265
P.S. 140 NATHAN STRAUS,4,2013,Female,13,290
P.S. 140 NATHAN STRAUS,4,2013,Male,11,281
P.S. 140 NATHAN STRAUS,4,2014,Female,18,289
P.S. 140 NATHAN STRAUS,4,2014,Male,13,295
P.S. 140 NATHAN STRAUS,5,2013,Female,14,283
P.S. 140 NATHAN STRAUS,5,2013,Male,11,279
P.S. 140 NATHAN STRAUS,5,2014,Female,13,286
P.S. 140 NATHAN STRAUS,5,2014,Male,11,264
P.S. 140 NATHAN STRAUS,6,2013,Female,32,289
P.S. 140 NATHAN STRAUS,6,2013,Male,26,277
P.S. 140 NATHAN STRAUS,6,2014,Female,37,287
P.S. 140 NATHAN STRAUS,6,2014,Male,20,278
P.S. 140 NATHAN STRAUS,7,2013,Female,33,283
P.S. 140 NATHAN STRAUS,7,2013,Male,30,275
P.S. 140 NATHAN STRAUS,7,2014,Female,31,300
P.S. 140 NATHAN STRAUS,7,2014,Male,24,282
P.S. 140 NATHAN STRAUS,8,2013,Female,24,285
P.S. 140 NATHAN STRAUS,8,2013,Male,28,277
P.S. 140 NATHAN STRAUS,8,2014,Female,32,290
P.S. 140 NATHAN STRAUS,8,2014,Male,29,282
P.S. 140 NATHAN STRAUS,All Grades,2013,Female,135,286
P.S. 140 NATHAN STRAUS,All Grades,2013,Male,118,278
P.S. 140 NATHAN STRAUS,All Grades,2014,Female,142,289
P.S. 140 NATHAN STRAUS,All Grades,2014,Male,113,279
P.S. 142 AMALIA CASTRO,3,2013,Female,26,293
P.S. 142 AMALIA CASTRO,3,2013,Male,33,290
P.S. 142 AMALIA CASTRO,3,2014,Female,21,282
P.S. 142 AMALIA CASTRO,3,2014,Male,26,274
P.S. 142 AMALIA CASTRO,4,2013,Female,29,291
P.S. 142 AMALIA CASTRO,4,2013,Male,25,293
P.S. 142 AMALIA CASTRO,4,2014,Female,24,292
P.S. 142 AMALIA CASTRO,4,2014,Male,33,292
P.S. 142 AMALIA CASTRO,5,2013,Female,32,294
P.S. 142 AMALIA CASTRO,5,2013,Male,22,279
P.S. 142 AMALIA CASTRO,5,2014,Female,24,280
P.S. 142 AMALIA CASTRO,5,2014,Male,25,288
P.S. 142 AMALIA CASTRO,All Grades,2013,Female,87,293
P.S. 142 AMALIA CASTRO,All Grades,2013,Male,80,288
P.S. 142 AMALIA CASTRO,All Grades,2014,Female,69,285
P.S. 142 AMALIA CASTRO,All Grades,2014,Male,84,285
P.S. 184M SHUANG WEN,3,2013,Female,39,318
P.S. 184M SHUANG WEN,3,2013,Male,42,314
P.S. 184M SHUANG WEN,3,2014,Female,36,325
P.S. 184M SHUANG WEN,3,2014,Male,36,317
P.S. 184M SHUANG WEN,4,2013,Female,36,323
P.S. 184M SHUANG WEN,4,2013,Male,34,326
P.S. 184M SHUANG WEN,4,2014,Female,41,322
P.S. 184M SHUANG WEN,4,2014,Male,43,329
P.S. 184M SHUANG WEN,5,2013,Female,31,331
P.S. 184M SHUANG WEN,5,2013,Male,25,332
P.S. 184M SHUANG WEN,5,2014,Female,33,317
P.S. 184M SHUANG WEN,5,2014,Male,29,320
P.S. 184M SHUANG WEN,6,2013,Female,34,336
P.S. 184M SHUANG WEN,6,2013,Male,23,331
P.S. 184M SHUANG WEN,6,2014,Female,20,325
P.S. 184M SHUANG WEN,6,2014,Male,18,335
P.S. 184M SHUANG WEN,7,2013,Female,32,332
P.S. 184M SHUANG WEN,7,2013,Male,27,326
P.S. 184M SHUANG WEN,7,2014,Female,33,337
P.S. 184M SHUANG WEN,7,2014,Male,26,333
P.S. 184M SHUANG WEN,8,2013,Female,26,335
P.S. 184M SHUANG WEN,8,2013,Male,26,332
P.S. 184M SHUANG WEN,8,2014,Female,32,338
P.S. 184M SHUANG WEN,8,2014,Male,27,328
P.S. 184M SHUANG WEN,All Grades,2013,Female,198,329
P.S. 184M SHUANG WEN,All Grades,2013,Male,177,325
P.S. 184M SHUANG WEN,All Grades,2014,Female,195,327
P.S. 184M SHUANG WEN,All Grades,2014,Male,179,326
P.S. 188 THE ISLAND SCHOOL,3,2013,Female,19,271
P.S. 188 THE ISLAND SCHOOL,3,2013,Male,26,288
P.S. 188 THE ISLAND SCHOOL,3,2014,Female,30,291
P.S. 188 THE ISLAND SCHOOL,3,2014,Male,18,274
P.S. 188 THE ISLAND SCHOOL,4,2013,Female,17,285
P.S. 188 THE ISLAND SCHOOL,4,2013,Male,22,287
P.S. 188 THE ISLAND SCHOOL,4,2014,Female,17,286
P.S. 188 THE ISLAND SCHOOL,4,2014,Male,29,280
P.S. 188 THE ISLAND SCHOOL,5,2013,Female,15,274
P.S. 188 THE ISLAND SCHOOL,5,2013,Male,18,276
P.S. 188 THE ISLAND SCHOOL,5,2014,Female,18,276
P.S. 188 THE ISLAND SCHOOL,5,2014,Male,26,270
P.S. 188 THE ISLAND SCHOOL,6,2013,Female,30,275
P.S. 188 THE ISLAND SCHOOL,6,2013,Male,30,272
P.S. 188 THE ISLAND SCHOOL,6,2014,Female,21,283
P.S. 188 THE ISLAND SCHOOL,6,2014,Male,22,276
P.S. 188 THE ISLAND SCHOOL,7,2013,Female,32,282
P.S. 188 THE ISLAND SCHOOL,7,2013,Male,31,281
P.S. 188 THE ISLAND SCHOOL,7,2014,Female,34,283
