Borough,Grade,Year,Category,Number Tested,Mean
QUEENS,5,2013,White,2864,315
QUEENS,5,2014,Asian,5912,335
QUEENS,5,2014,Black,3552,295
QUEENS,5,2014,Hispanic,7656,304
QUEENS,5,2014,White,2863,323
QUEENS,6,2013,Asian,5719,326
QUEENS,6,2013,Black,4133,288
QUEENS,6,2013,Hispanic,7406,297
QUEENS,6,2013,White,2799,314
QUEENS,6,2014,Asian,5758,332
QUEENS,6,2014,Black,3735,288
QUEENS,6,2014,Hispanic,7362,298
QUEENS,6,2014,White,2717,319
QUEENS,7,2013,Asian,6053,324
QUEENS,7,2013,Black,4203,285
QUEENS,7,2013,Hispanic,7042,295
QUEENS,7,2013,White,2898,314
QUEENS,7,2014,Asian,5729,328
QUEENS,7,2014,Black,4004,291
QUEENS,7,2014,Hispanic,7374,300
QUEENS,7,2014,White,2767,317
QUEENS,8,2013,Asian,5747,327
QUEENS,8,2013,Black,4146,286
QUEENS,8,2013,Hispanic,7105,297
QUEENS,8,2013,White,2664,315
QUEENS,8,2014,Asian,4138,320
QUEENS,8,2014,Black,3601,286
QUEENS,8,2014,Hispanic,6275,295
QUEENS,8,2014,White,2043,309
STATEN ISLAND,3,2013,Asian,326,325
STATEN ISLAND,3,2013,Black,623,282
STATEN ISLAND,3,2013,Hispanic,1188,292
STATEN ISLAND,3,2013,White,2427,312
STATEN ISLAND,3,2014,Asian,303,330
STATEN ISLAND,3,2014,Black,545,288
STATEN ISLAND,3,2014,Hispanic,1240,295
STATEN ISLAND,3,2014,White,2306,313
STATEN ISLAND,4,2013,Asian,355,325
STATEN ISLAND,4,2013,Black,623,283
STATEN ISLAND,4,2013,Hispanic,1177,292
STATEN ISLAND,4,2013,White,2511,312
STATEN ISLAND,4,2014,Asian,327,333
STATEN ISLAND,4,2014,Black,560,286
STATEN ISLAND,4,2014,Hispanic,1152,295
STATEN ISLAND,4,2014,White,2377,316
STATEN ISLAND,5,2013,Asian,403,329
STATEN ISLAND,5,2013,Black,626,286
STATEN ISLAND,5,2013,Hispanic,1153,290
STATEN ISLAND,5,2013,White,2388,311
STATEN ISLAND,5,2014,Asian,346,334
STATEN ISLAND,5,2014,Black,597,289
STATEN ISLAND,5,2014,Hispanic,1195,298
STATEN ISLAND,5,2014,White,2473,318
STATEN ISLAND,6,2013,Asian,322,323
STATEN ISLAND,6,2013,Black,534,275
STATEN ISLAND,6,2013,Hispanic,1044,286
STATEN ISLAND,6,2013,White,2179,310
STATEN ISLAND,6,2014,Asian,366,332
STATEN ISLAND,6,2014,Black,506,282
STATEN ISLAND,6,2014,Hispanic,1045,288
STATEN ISLAND,6,2014,White,2242,315
STATEN ISLAND,7,2013,Asian,359,321
STATEN ISLAND,7,2013,Black,566,276
STATEN ISLAND,7,2013,Hispanic,1026,288
STATEN ISLAND,7,2013,White,2306,310
STATEN ISLAND,7,2014,Asian,332,329
STATEN ISLAND,7,2014,Black,498,283
STATEN ISLAND,7,2014,Hispanic,1012,291
STATEN ISLAND,7,2014,White,2157,317
STATEN ISLAND,8,2013,Asian,332,327
STATEN ISLAND,8,2013,Black,595,278
STATEN ISLAND,8,2013,Hispanic,1005,289
STATEN ISLAND,8,2013,White,2262,310
STATEN ISLAND,8,2014,Asian,280,325
STATEN ISLAND,8,2014,Black,513,281
STATEN ISLAND,8,2014,Hispanic,989,290
STATEN ISLAND,8,2014,White,1939,309
